maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,season,moonrise_time_class,sunrise_time_class,moonset_time_class,sunset_time_class
0.3055555555555556,0.5833333333333333,0,10.6,6,1,72,23,27,27,25,33,100,0.8877551020408162,0.0,999,25,10,22,0.425531914893617,0,3,0,2,0
0.36111111111111105,0.3611111111111111,0,8.7,6,1,8,12,17,17,17,14,18,0.7040816326530611,0.0,1016,16,10,344,0.1276595744680851,0,0,1,1,0
0.611111111111111,0.5833333333333333,0,11.6,8,1,27,9,27,27,28,6,7,0.2959183673469387,0.0,1006,26,10,107,0.0851063829787234,1,2,1,0,0
0.5833333333333334,0.611111111111111,0,8.7,8,7,100,13,30,30,30,17,3,0.346938775510204,0.0,1007,29,10,318,0.1702127659574468,0,1,1,2,0
0.7222222222222222,0.7777777777777777,0,13.9,9,1,74,17,38,38,36,10,8,0.31632653061224486,0.0,997,35,10,123,0.14893617021276595,2,1,0,0,1
0.41666666666666663,0.4166666666666667,0,8.7,6,6,28,8,25,25,25,10,0,0.32653061224489793,0.0,1013,21,10,272,0.19148936170212766,0,0,1,1,0
0.5833333333333334,0.7499999999999999,0,13.3,8,8,100,24,43,43,35,13,40,0.5306122448979591,0.0,997,35,10,91,0.2553191489361702,2,3,0,0,1
0.5277777777777778,0.6388888888888888,0,12.9,8,8,75,25,42,42,34,12,30,0.5918367346938774,0.0,998,33,10,96,0.1702127659574468,2,1,0,0,0
0.4722222222222222,0.4444444444444445,0,11.6,7,6,74,11,27,27,28,24,26,0.346938775510204,0.0,1009,27,9,310,0.2765957446808511,1,3,1,2,0
0.5,0.6388888888888888,0,12.6,7,7,97,25,41,41,33,5,54,0.6020408163265305,0.0,1003,33,10,59,0.0851063829787234,0,1,0,0,0
0.2777777777777778,0.2222222222222222,0,8.7,5,6,46,13,26,27,26,4,0,0.43877551020408156,0.0,1019,21,10,335,0.06382978723404255,3,2,1,0,0
0.5555555555555556,0.6666666666666666,0,13.2,7,1,15,25,34,34,29,16,55,0.7959183673469387,0.0,999,28,10,140,0.2127659574468085,2,0,0,1,0
0.5833333333333334,0.6666666666666666,0,12.6,8,8,0,21,38,38,34,11,46,0.4693877551020408,0.0,1003,33,10,149,0.1702127659574468,0,0,0,1,0
0.5555555555555556,0.611111111111111,0,8.7,8,8,94,20,36,36,33,13,19,0.4693877551020408,0.0,1005,32,10,97,0.14893617021276595,0,1,1,0,0
0.7777777777777778,0.7777777777777777,0,12.8,9,10,59,6,41,41,41,19,2,0.10204081632653061,0.0,1002,41,10,305,0.3404255319148936,1,2,0,0,0
0.5,0.5833333333333333,0,8.7,7,8,87,8,32,32,34,12,5,0.18367346938775508,0.0,1012,32,10,337,0.2127659574468085,0,1,1,0,0
0.5,0.5833333333333333,0,8.7,7,7,87,9,26,26,27,16,29,0.3061224489795918,0.0,1013,26,10,358,0.2553191489361702,0,1,1,0,0
0.36111111111111105,0.3611111111111111,0,8.7,6,1,39,9,21,21,21,26,0,0.4693877551020408,0.0,1010,19,10,287,0.2765957446808511,0,0,1,2,0
0.2222222222222222,0.1388888888888889,0,8.7,4,6,84,4,24,24,24,13,7,0.2551020408163265,0.0,1013,23,10,291,0.2553191489361702,3,3,1,2,0
0.5833333333333334,0.5833333333333333,0,8.7,7,1,87,11,27,27,27,13,0,0.346938775510204,0.0,1007,24,10,340,0.1276595744680851,0,3,1,2,0
0.41666666666666663,0.49999999999999994,0,8.7,7,7,0,8,28,28,29,10,46,0.26530612244897955,0.0,1015,29,10,232,0.19148936170212766,0,0,1,1,0
0.25,0.3333333333333333,0,8.7,5,1,47,11,17,17,17,12,2,0.6428571428571428,0.0,1017,17,10,59,0.1702127659574468,3,2,1,0,0
0.25,0.25,0,8.7,5,5,25,9,24,25,24,3,0,0.36734693877551017,0.0,1015,19,10,325,0.0425531914893617,3,0,1,1,0
0.4722222222222222,0.6388888888888888,0,12.7,6,1,1,26,32,32,27,14,35,0.9285714285714285,0.0,1001,26,10,135,0.1702127659574468,0,2,0,1,0
0.25,0.25,0,8.7,5,6,71,5,25,24,25,7,0,0.26530612244897955,0.0,1018,20,10,291,0.1276595744680851,3,3,1,2,0
0.5833333333333334,0.47222222222222227,0,11.6,7,6,12,11,26,26,26,17,6,0.39795918367346933,0.0,1009,24,10,117,0.1702127659574468,1,2,1,3,0
0.5555555555555556,0.5833333333333333,0,8.7,7,1,17,11,27,27,27,15,4,0.3571428571428571,0.0,1007,25,10,269,0.2127659574468085,0,2,1,3,0
0.638888888888889,0.4166666666666667,0,12.7,7,7,18,-3,25,25,27,4,4,0.12244897959183673,0.0,1007,25,10,128,0.0425531914893617,1,2,0,3,0
0.41666666666666663,0.4444444444444445,0,8.7,6,1,38,9,21,24,21,14,14,0.44897959183673464,0.0,1009,20,10,22,0.1276595744680851,0,2,1,0,0
0.5555555555555556,0.6388888888888888,0,8.7,7,8,21,17,38,38,37,9,4,0.2959183673469387,0.0,1010,35,10,306,0.14893617021276595,0,0,1,1,0
